nrg_prc,nrg_cons,currency,geo\time	2018 	2017 	2016S2 	2015S2 	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
NRG_SUP,MWH2000-19999,EUR,SK	0.0421 	0.0345 	0.0367 	0.0400 	0.0459 	0.0528 	0.0575 	0.0555 	0.0609 	0.0799 	0.0725 	0.0579 
NRG_SUP,MWH2000-19999,EUR,TR	0.0406 	0.0489 	0.0519 	0.0569 	0.0558 	0.0604 	0.0706 	0.0505 	0.0728 	0.0632 	0.0689 	: 
NRG_SUP,MWH2000-19999,EUR,UK	0.0731 	0.0632 	0.0668 	0.0841 	0.0831 	0.0768 	0.0794 	0.0677 	0.0657 	0.0667 	0.0751 	0.0621 
NRG_SUP,MWH2000-19999,EUR,XK	0.0465 	0.0490 	0.0561 	0.0583 	0.0571 	0.0572 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,AT	0.0374 	0.0354 	0.0335 	0.0465 	0.0519 	0.0572 	0.0602 	0.0638 	0.0659 	0.0707 	0.0698 	: 
NRG_SUP,MWH2000-19999,NAT,BA	0.0847 	0.0818 	0.0846 	0.0905 	: 	0.0901 	0.0908 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,BE	0.0436 	0.0445 	0.0455 	0.0477 	0.0559 	0.0583 	0.0621 	0.0646 	0.0653 	0.0723 	0.0674 	0.0569 
NRG_SUP,MWH2000-19999,NAT,BG	0.1190 	0.1091 	0.1105 	0.1191 	0.1169 	0.0979 	0.1047 	0.0944 	0.0968 	0.0940 	0.0870 	0.0711 
NRG_SUP,MWH2000-19999,NAT,CY	0.1056 	0.0943 d	0.0891 	0.0919 	0.1432 	0.1580 	0.1898 	0.1685 	0.1327 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,CZ	0.8782 	0.8574 	0.8564 	0.9480 	1.1453 	1.3241 	1.4716 	1.4930 	1.7010 	1.8300 	1.6700 	1.5200 
NRG_SUP,MWH2000-19999,NAT,DE	0.0358 	0.0321 	0.0398 	0.0461 	0.0488 	0.0571 	0.0573 	0.0601 	0.0601 	0.0643 	0.0653 	0.0573 
NRG_SUP,MWH2000-19999,NAT,DK	0.2958 	0.2608 	0.2712 	0.2631 	0.3145 	0.2933 	0.2828 	0.3409 	0.4074 	0.2984 	0.4845 	0.3065 
NRG_SUP,MWH2000-19999,NAT,EE	0.0401 	0.0355 	0.0378 	0.0460 	0.0426 	0.0449 	0.0302 	0.0367 	0.5700 	0.4700 	0.4500 	0.4190 
NRG_SUP,MWH2000-19999,NAT,EL	0.0601 	0.0610 	0.0597 	0.0743 	0.0761 	0.0770 	0.0762 	0.0680 	0.0607 	0.0617 	: 	: 
NRG_SUP,MWH2000-19999,NAT,ES	0.0783 d	0.0692 d	0.0679 	0.0770 	0.0835 	0.0898 	0.0763 	0.0713 	0.0683 	0.0711 	0.0678 	: 
NRG_SUP,MWH2000-19999,NAT,FI	0.0395 	0.0382 	0.0417 	0.0453 	0.0468 	0.0483 	0.0485 	0.0491 	0.0482 	0.0488 	0.0476 	0.0404 
NRG_SUP,MWH2000-19999,NAT,FR	0.0417 	0.0386 	0.0430 	0.0485 	0.0461 	0.0434 	0.0432 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,GE	0.1092 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,HR	0.3398 	0.3148 	0.3281 	0.3580 	0.3522 	0.3641 	0.3726 	0.3680 	0.3650 	0.3700 	0.3400 	0.3000 
NRG_SUP,MWH2000-19999,NAT,HU	15.0705 	12.3617 	14.1379 	16.8575 	17.4405 	19.0449 	18.7751 	: 	19.9100 	24.2254 	21.2023 	17.0872 
NRG_SUP,MWH2000-19999,NAT,IE	0.0774 	0.0675 	0.0712 	0.0850 	0.0867 	0.0878 	0.0920 	0.0847 	0.0703 	0.0816 	0.0969 	: 
NRG_SUP,MWH2000-19999,NAT,IS	3.0678 	: 	3.1181 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,IT	0.0689 d	0.0616 d	0.0666 d	0.0687 	0.0822 	0.0902 	0.1003 	0.0882 	0.0843 	0.0913 	0.0996 	: 
NRG_SUP,MWH2000-19999,NAT,LT	0.0424 	0.0380 	0.0399 	0.0513 	0.2080 	0.1890 	0.1683 	0.1701 	0.1654 	0.1293 	0.1282 	0.1073 
NRG_SUP,MWH2000-19999,NAT,LU	0.0372 	0.0374 	0.0350 	0.0430 	0.0526 	0.0569 	0.0628 	0.0581 	0.0640 	0.0772 	: 	: 
NRG_SUP,MWH2000-19999,NAT,LV	0.0426 	0.0396 	0.0431 	0.0476 	0.0482 	0.0328 	0.0340 	0.0466 	0.0411 	0.0409 	0.0381 	0.0229 
NRG_SUP,MWH2000-19999,NAT,MD	0.9402 	1.2219 	1.0664 	1.1606 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,ME	0.0424 	: 	0.0386 	0.0391 	0.0386 	0.0373 	0.0373 	0.0337 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,MK	3.3659 	2.7804 	2.8673 	3.7678 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,MT	0.0941 	0.0936 	0.1013 	0.1019 	0.1360 	0.1330 	0.1360 	0.1350 	0.1380 	0.0640 	0.1103 	0.0299 
NRG_SUP,MWH2000-19999,NAT,NL	0.0417 	0.0400 	0.0441 	0.0489 	0.0528 	0.0562 	0.0588 	0.0605 	0.0634 	0.0719 	0.0691 	0.0638 
NRG_SUP,MWH2000-19999,NAT,NO	0.4348 	0.3040 	0.3092 	0.2098 	0.2799 	0.3130 	0.2528 	0.3318 	0.3745 	0.3335 	0.3463 	0.2811 
NRG_SUP,MWH2000-19999,NAT,PL	0.1623 	0.1597 	0.1980 	0.2050 	0.1895 	0.2141 	0.2428 	0.2399 	0.2385 	0.2501 	0.1787 	0.1133 
NRG_SUP,MWH2000-19999,NAT,PT	0.0501 	0.0503 	0.0541 	0.0578 	0.0563 	0.0615 	0.0624 	0.0551 	0.0589 	0.0651 	0.0554 	0.0625 
NRG_SUP,MWH2000-19999,NAT,RO	0.2108 	0.1697 	0.1569 	0.1468 	0.1580 	0.2044 	0.2108 	0.2125 	0.2005 	0.2113 	0.1976 	0.1923 
NRG_SUP,MWH2000-19999,NAT,RS	5.4201 	4.8553 	3.4462 	5.2964 	5.2583 	4.1897 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,NAT,SE	0.3951 	0.2991 	0.3491 	0.3101 	0.3880 	0.4194 	0.4088 	0.4824 	0.5310 	0.4780 	0.5390 	0.4143 
NRG_SUP,MWH2000-19999,NAT,SI	0.0452 	0.0404 	0.0443 	0.0482 	0.0507 	0.0577 	0.0605 	0.0616 	0.0618 	0.0638 	0.0600 	: 
NRG_SUP,MWH2000-19999,NAT,SK	0.0421 	0.0345 	0.0367 	0.0400 	0.0459 	0.0528 	0.0575 	0.0555 	0.0609 	0.0799 	2.2000 	1.9400 
NRG_SUP,MWH2000-19999,NAT,TR	0.2615 	0.2106 	0.1779 	0.1810 	0.1590 	0.1619 	0.1619 	0.1245 	0.1437 	0.1374 	0.1326 	: 
NRG_SUP,MWH2000-19999,NAT,UK	0.0650 	0.0564 	0.0574 	0.0605 	0.0658 	0.0651 	0.0635 	0.0587 	0.0556 	0.0592 	0.0614 	0.0431 
NRG_SUP,MWH2000-19999,NAT,XK	0.0465 	0.0490 	0.0561 	0.0583 	0.0571 	0.0572 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,PPS,AT	0.0337 	0.0325 	0.0314 	0.0428 	0.0470 	0.0512 	0.0546 	0.0576 	0.0598 	0.0630 	0.0640 	: 
NRG_SUP,MWH2000-19999,PPS,BA	0.0882 	0.0852 	0.0914 	0.0982 	: 	0.0945 	0.0962 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,PPS,BE	0.0395 	0.0408 	0.0426 	0.0432 	0.0504 	0.0518 	0.0561 	0.0582 	0.0589 	0.0634 	0.0603 	0.0521 
NRG_SUP,MWH2000-19999,PPS,BG	0.1262 	0.1157 	0.1219 	0.1318 	0.1268 	0.1053 	0.1139 	0.1020 	0.1116 	0.1075 	0.1040 	0.0906 
NRG_SUP,MWH2000-19999,PPS,CY	0.1184 	0.1067 d	0.1007 	0.1009 	0.1629 	0.1771 	0.2091 	0.1831 	0.1496 	: 	: 	: 
NRG_SUP,MWH2000-19999,PPS,CZ	0.0487 	0.0485 	0.0499 	0.0543 	0.0649 	0.0747 	0.0833 	0.0841 	0.0930 	0.0990 	0.0915 	0.0884 
NRG_SUP,MWH2000-19999,PPS,DE	0.0334 	0.0303 	0.0384 	0.0442 	0.0468 	0.0543 	0.0555 	0.0578 	0.0576 	0.0598 	0.0629 	0.0560 
NRG_SUP,MWH2000-19999,PPS,DK	0.0297 	0.0262 	0.0271 	0.0271 	0.0313 	0.0292 	0.0281 	0.0339 	0.0401 	0.0287 	0.0472 	0.0302 
NRG_SUP,MWH2000-19999,PPS,EE	0.0529 	0.0485 	0.0531 	0.0634 	0.0571 	0.0616 	0.0520 	0.0528 	0.0537 	0.0429 	0.0405 	0.0394 
NRG_SUP,MWH2000-19999,PPS,EL	0.0731 	0.0743 	0.0715 	0.0929 	0.0918 	0.0902 	0.0852 	0.0733 	0.0660 	0.0665 	: 	: 
NRG_SUP,MWH2000-19999,PPS,ES	0.0866 d	0.0768 d	0.0759 	0.0860 	0.0934 	0.0997 	0.0843 	0.0764 	0.0727 	0.0754 	0.0736 	: 
NRG_SUP,MWH2000-19999,PPS,FI	0.0318 	0.0307 	0.0344 	0.0365 	0.0376 	0.0392 	0.0402 	0.0408 	0.0404 	0.0406 	0.0405 	0.0349 
NRG_SUP,MWH2000-19999,PPS,FR	0.0381 	0.0352 	0.0391 	0.0453 	0.0420 	0.0391 	0.0385 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,PPS,HR	0.0709 	0.0656 	0.0693 	0.0744 	0.0728 	0.0757 	0.0772 	0.0735 	0.0712 	0.0722 	0.0693 	0.0634 
NRG_SUP,MWH2000-19999,PPS,HU	0.0789 	0.0673 	0.0808 	0.0964 	0.0998 	0.1112 	0.1116 	: 	0.1211 	0.1451 	0.1280 	0.1056 
NRG_SUP,MWH2000-19999,PPS,IE	0.0692 	0.0604 	0.0661 	0.0763 	0.0779 	0.0797 	0.0839 	0.0768 	0.0636 	0.0688 	0.0796 	: 
NRG_SUP,MWH2000-19999,PPS,IS	0.0157 	: 	0.0166 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,PPS,IT	0.0697 d	0.0628 d	0.0679 d	0.0683 	0.0819 	0.0894 	0.0999 	0.0866 	0.0825 	0.0881 	0.0986 	: 
NRG_SUP,MWH2000-19999,PPS,LT	0.0669 	0.0619 	0.0670 	0.0850 	0.0982 	0.0893 	0.0809 	0.0816 	0.0810 	0.0604 	0.0590 	0.0540 
NRG_SUP,MWH2000-19999,PPS,LU	0.0304 	0.0309 	0.0296 	0.0358 	0.0441 	0.0469 	0.0532 	0.0490 	0.0530 	0.0640 	: 	: 
NRG_SUP,MWH2000-19999,PPS,LV	0.0618 	0.0574 	0.0650 	0.0705 	0.0703 	0.0675 	0.0708 	0.0987 	0.0887 	0.0850 	0.0754 	0.0491 
NRG_SUP,MWH2000-19999,PPS,ME	0.0850 	: 	0.0800 	0.0810 	0.0752 	0.0743 	0.0759 	0.0687 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,PPS,MK	0.1244 	0.1048 	0.1117 	0.1497 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,PPS,MT	0.1113 	0.1126 	0.1262 	0.1271 	0.1697 	0.1705 	0.1774 	0.1785 	0.1889 	0.0880 	0.1538 	0.0996 
NRG_SUP,MWH2000-19999,PPS,NL	0.0372 	0.0357 	0.0408 	0.0451 	0.0482 	0.0514 	0.0536 	0.0550 	0.0570 	0.0643 	0.0641 	0.0604 
NRG_SUP,MWH2000-19999,PPS,NO	0.0311 	0.0221 	0.0238 	0.0167 	0.0224 	0.0257 	0.0215 	0.0279 	0.0317 	0.0280 	0.0309 	0.0260 
NRG_SUP,MWH2000-19999,PPS,PL	0.0656 	0.0646 	0.0838 	0.0852 	0.0783 	0.0888 	0.1007 	0.0990 	0.1000 	0.1009 	0.0752 	0.0499 
NRG_SUP,MWH2000-19999,PPS,PT	0.0615 	0.0632 	0.0692 	0.0742 	0.0724 	0.0789 	0.0783 	0.0671 	0.0711 	0.0773 	0.0667 	0.0769 
NRG_SUP,MWH2000-19999,PPS,RO	0.0904 	0.0728 	0.0720 	0.0666 	0.0692 	0.0927 	0.0992 	0.1008 	0.0962 	0.1003 	0.0967 	0.1032 
NRG_SUP,MWH2000-19999,PPS,RS	0.0936 	0.0859 	0.0637 	0.0985 	0.0924 	0.0761 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH2000-19999,PPS,SE	0.0316 	0.0243 	0.0292 	0.0259 	0.0327 	0.0360 	0.0352 	0.0411 	0.0451 	0.0403 	0.0480 	0.0378 
NRG_SUP,MWH2000-19999,PPS,SI	0.0547 	0.0489 	0.0566 	0.0603 	0.0634 	0.0717 	0.0748 	0.0737 	0.0735 	0.0745 	0.0739 	: 
NRG_SUP,MWH2000-19999,PPS,SK	0.0620 	0.0508 	0.0565 	0.0616 	0.0689 	0.0777 	0.0842 	0.0808 	0.0911 	0.1176 	0.1029 	0.0855 
NRG_SUP,MWH2000-19999,PPS,TR	0.1311 	0.1193 	0.1070 	0.1158 	0.1002 	0.1099 	0.1170 	0.0947 	0.1166 	0.1133 	0.1164 	: 
NRG_SUP,MWH2000-19999,PPS,UK	0.0663 	0.0592 	0.0622 	0.0656 	0.0702 	0.0704 	0.0694 	0.0633 	0.0614 	0.0679 	0.0737 	0.0542 
NRG_SUP,MWH20000-69999,EUR,AT	0.0363 	0.0336 	0.0379 	0.0442 	0.0476 	0.0528 	0.0576 	0.0612 	0.0635 	0.0689 	0.0679 	: 
NRG_SUP,MWH20000-69999,EUR,BA	0.0347 	0.0360 	0.0310 	0.0311 	: 	0.0354 	0.0364 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,EUR,BE	0.0433 	0.0418 	0.0443 	0.0470 	0.0527 	0.0567 	0.0604 	0.0616 	0.0611 	0.0743 	0.0622 	0.0550 
NRG_SUP,MWH20000-69999,EUR,BG	0.0593 	0.0506 	0.0541 	0.0577 	0.0518 	0.0459 	0.0501 	0.0421 	0.0432 	0.0429 	0.0394 	0.0346 
NRG_SUP,MWH20000-69999,EUR,CY	0.1022 	0.0869 d	0.0772 	0.0899 	0.1331 	0.1450 	0.1830 	0.1573 	0.1249 	: 	: 	: 
NRG_SUP,MWH20000-69999,EUR,CZ	0.0389 	0.0325 	0.0331 	0.0372 	0.0424 	0.0492 	0.0548 	0.0642 	0.0745 	0.0679 	0.0627 	0.0508 
NRG_SUP,MWH20000-69999,EUR,DE	0.0332 	0.0230 	0.0307 	0.0434 	0.0459 	0.0530 	0.0541 	0.0557 	0.0569 	0.0611 	0.0657 	0.0554 
NRG_SUP,MWH20000-69999,EUR,DK	0.0409 	0.0329 	0.0343 	0.0310 	0.0390 	0.0393 	0.0379 	0.0458 	0.0547 	0.0401 	0.0650 	0.0411 
NRG_SUP,MWH20000-69999,EUR,EA	0.0487 	0.0425 	0.0459 	0.0519 	0.0551 	0.0594 	0.0611 	0.0643 	0.0623 	0.0671 	0.0689 	0.0537 
NRG_SUP,MWH20000-69999,EUR,EE	0.0414 	0.0354 	0.0372 	0.0392 	0.0412 	0.0439 	0.0245 	0.0387 	0.0383 	0.0281 	0.0268 	0.0222 
NRG_SUP,MWH20000-69999,EUR,EL	0.0599 	0.0530 	0.0556 	0.0613 	0.0589 	0.0697 	0.0681 	0.0603 	0.0549 	0.0563 	: 	: 
NRG_SUP,MWH20000-69999,EUR,ES	0.0757 d	0.0680 d	0.0660 	0.0722 	0.0739 	0.0782 	0.0709 	0.0618 	0.0581 	0.0626 	0.0594 	: 
NRG_SUP,MWH20000-69999,EUR,EU28	0.0496 	0.0436 	0.0467 	0.0529 	0.0560 	0.0593 	0.0617 	0.0624 	0.0611 	0.0645 	0.0665 	0.0507 
NRG_SUP,MWH20000-69999,EUR,FI	0.0406 	0.0379 	0.0406 	0.0398 	0.0431 	0.0477 	0.0471 	0.0479 	0.0514 	0.0481 	0.0487 	0.0363 
NRG_SUP,MWH20000-69999,EUR,FR	0.0410 	0.0383 	0.0419 	0.0444 	0.0426 	0.0421 	0.0428 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,EUR,GE	0.0365 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,EUR,HR	0.0440 	0.0401 	0.0408 	0.0432 	0.0443 	0.0457 	0.0435 	0.0437 	0.0487 	0.0479 	0.0460 	0.0314 
NRG_SUP,MWH20000-69999,EUR,HU	0.0464 	0.0388 	0.0444 	0.0535 	0.0572 	0.0653 	0.0663 	: 	0.0689 	0.0862 	0.0810 	0.0538 
NRG_SUP,MWH20000-69999,EUR,IE	0.0764 	0.0624 	0.0597 	0.0750 	0.0786 	0.0838 	0.0928 	0.0733 	0.0693 	0.0820 	: 	: 
NRG_SUP,MWH20000-69999,EUR,IT	0.0693 d	0.0629 d	0.0652 d	0.0662 	0.0787 	0.0830 	0.0913 	0.0907 	0.0811 	0.0852 	0.0941 	: 
NRG_SUP,MWH20000-69999,EUR,LT	0.0415 	0.0370 	0.0387 	0.0507 	0.0629 	: 	0.0491 	: 	0.0461 	0.0376 	0.0369 	0.0311 
NRG_SUP,MWH20000-69999,EUR,LU	0.0361 	0.0346 	0.0365 	0.0402 	0.0505 	0.0522 	0.0557 	0.0533 	0.0540 	0.0592 	: 	: 
NRG_SUP,MWH20000-69999,EUR,LV	0.0401 	0.0372 	0.0407 	0.0439 	0.0482 	0.0480 	0.0516 	0.0662 	0.0599 	0.0549 	0.0539 	0.0323 
NRG_SUP,MWH20000-69999,EUR,ME	0.0315 	: 	0.0406 	0.0385 	0.0388 	0.0410 	0.0397 	: c	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,EUR,MK	0.0565 	0.0452 	0.0470 	0.0556 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,EUR,MT	0.0657 	0.0750 	0.0915 	0.0901 	0.1220 	0.1150 	0.1160 	0.1140 	0.1160 	0.0640 	0.1103 	0.0361 
NRG_SUP,MWH20000-69999,EUR,NL	0.0418 	0.0385 	0.0422 	0.0473 	0.0496 	0.0549 	0.0575 	0.0573 	0.0594 	0.0709 	0.0686 	0.0635 
NRG_SUP,MWH20000-69999,EUR,NO	0.0472 	0.0326 	0.0330 	0.0230 	0.0322 	0.0382 	0.0355 	0.0408 	0.0493 	0.0371 	0.0450 	0.0339 
NRG_SUP,MWH20000-69999,EUR,PL	0.0375 	0.0360 	0.0438 	0.0460 	0.0438 	0.0489 	0.0585 	0.0548 	0.0577 	0.0584 	0.0492 	0.0299 
NRG_SUP,MWH20000-69999,EUR,PT	0.0502 	0.0499 	0.0501 	0.0580 	0.0552 	0.0593 	0.0598 	0.0520 	0.0534 	0.0565 	0.0483 	0.0524 
NRG_SUP,MWH20000-69999,EUR,RO	0.0445 	0.0348 	0.0340 	0.0308 	0.0325 	0.0418 	0.0429 	0.0467 	0.0415 	0.0445 	0.0440 	0.0497 
NRG_SUP,MWH20000-69999,EUR,RS	0.0434 	0.0410 	0.0288 	0.0437 	0.0440 	0.0342 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,EUR,SE	0.0396 	0.0308 	0.0378 	0.0335 	0.0422 	0.0472 	0.0450 	0.0506 	0.0588 	0.0471 	0.0533 	0.0435 
NRG_SUP,MWH20000-69999,EUR,SI	0.0443 	0.0408 	0.0429 	0.0473 	0.0498 	0.0549 	0.0596 	0.0590 	0.0563 	0.0629 	0.0530 	: 
NRG_SUP,MWH20000-69999,EUR,SK	0.0407 	0.0339 	0.0363 	0.0392 	0.0440 	0.0502 	0.0561 	0.0530 	0.0564 	0.0739 	0.0679 	0.0528 
NRG_SUP,MWH20000-69999,EUR,TR	0.0404 	0.0451 	0.0509 	0.0565 	0.0571 	0.0587 	0.0683 	0.0446 	0.0696 	0.0613 	0.0646 	: 
NRG_SUP,MWH20000-69999,EUR,UK	0.0715 	0.0671 	0.0645 	0.0816 	0.0841 	0.0767 	0.0822 	0.0667 	0.0594 	0.0648 	0.0733 	0.0563 
NRG_SUP,MWH20000-69999,EUR,XK	: c	: c	0.0356 	0.0362 	0.0356 	0.0395 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,NAT,AT	0.0363 	0.0336 	0.0379 	0.0442 	0.0476 	0.0528 	0.0576 	0.0612 	0.0635 	0.0689 	0.0679 	: 
NRG_SUP,MWH20000-69999,NAT,BA	0.0679 	0.0705 	0.0607 	0.0608 	: 	0.0693 	0.0713 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,NAT,BE	0.0433 	0.0418 	0.0443 	0.0470 	0.0527 	0.0567 	0.0604 	0.0616 	0.0611 	0.0743 	0.0622 	0.0550 
NRG_SUP,MWH20000-69999,NAT,BG	0.1159 	0.0990 	0.1058 	0.1129 	0.1014 	0.0897 	0.0980 	0.0824 	0.0845 	0.0840 	0.0770 	0.0677 
NRG_SUP,MWH20000-69999,NAT,CY	0.1022 	0.0869 d	0.0772 	0.0899 	0.1331 	0.1450 	0.1830 	0.1573 	0.1249 	: 	: 	: 
NRG_SUP,MWH20000-69999,NAT,CZ	1.0043 	0.8407 	0.8934 	1.0058 	1.1703 	1.2916 	1.3765 	1.5939 	1.8530 	1.7500 	1.5500 	1.3900 
NRG_SUP,MWH20000-69999,NAT,DE	0.0332 	0.0230 	0.0307 	0.0434 	0.0459 	0.0530 	0.0541 	0.0557 	0.0569 	0.0611 	0.0657 	0.0554 
NRG_SUP,MWH20000-69999,NAT,DK	0.3054 	0.2449 	0.2554 	0.2310 	0.2906 	0.2933 	0.2827 	0.3409 	0.4074 	0.2983 	0.4844 	0.3065 
NRG_SUP,MWH20000-69999,NAT,EE	0.0414 	0.0354 	0.0372 	0.0392 	0.0412 	0.0439 	0.0245 	0.0387 	0.6000 	0.4400 	0.4200 	0.3470 
NRG_SUP,MWH20000-69999,NAT,EL	0.0599 	0.0530 	0.0556 	0.0613 	0.0589 	0.0697 	0.0681 	0.0603 	0.0549 	0.0563 	: 	: 
NRG_SUP,MWH20000-69999,NAT,ES	0.0757 d	0.0680 d	0.0660 	0.0722 	0.0739 	0.0782 	0.0709 	0.0618 	0.0581 	0.0626 	0.0594 	: 
NRG_SUP,MWH20000-69999,NAT,FI	0.0406 	0.0379 	0.0406 	0.0398 	0.0431 	0.0477 	0.0471 	0.0479 	0.0514 	0.0481 	0.0487 	0.0363 
NRG_SUP,MWH20000-69999,NAT,FR	0.0410 	0.0383 	0.0419 	0.0444 	0.0426 	0.0421 	0.0428 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,NAT,GE	0.1093 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,NAT,HR	0.3263 	0.2997 	0.3064 	0.3287 	0.3387 	0.3465 	0.3261 	0.3270 	0.3560 	0.3500 	0.3300 	0.2300 
NRG_SUP,MWH20000-69999,NAT,HU	15.0139 	11.9926 	13.7838 	16.7147 	17.7568 	19.4534 	18.7751 	: 	19.2300 	23.3829 	20.2229 	13.5882 
NRG_SUP,MWH20000-69999,NAT,IE	0.0764 	0.0624 	0.0597 	0.0750 	0.0786 	0.0838 	0.0928 	0.0733 	0.0693 	0.0820 	: 	: 
NRG_SUP,MWH20000-69999,NAT,IT	0.0693 d	0.0629 d	0.0652 d	0.0662 	0.0787 	0.0830 	0.0913 	0.0907 	0.0811 	0.0852 	0.0941 	: 
NRG_SUP,MWH20000-69999,NAT,LT	0.0415 	0.0370 	0.0387 	0.0507 	0.2171 	: 	0.1696 	: 	0.1592 	0.1298 	0.1275 	0.1073 
NRG_SUP,MWH20000-69999,NAT,LU	0.0361 	0.0346 	0.0365 	0.0402 	0.0505 	0.0522 	0.0557 	0.0533 	0.0540 	0.0592 	: 	: 
NRG_SUP,MWH20000-69999,NAT,LV	0.0401 	0.0372 	0.0407 	0.0439 	0.0482 	0.0337 	0.0359 	0.0467 	0.0425 	0.0387 	0.0381 	0.0226 
NRG_SUP,MWH20000-69999,NAT,ME	0.0315 	: 	0.0406 	0.0385 	0.0388 	0.0410 	0.0397 	: c	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,NAT,MK	3.4767 	2.7804 	2.8922 	3.4281 	: 	: 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,NAT,MT	0.0657 	0.0750 	0.0915 	0.0901 	0.1220 	0.1150 	0.1160 	0.1140 	0.1160 	0.0640 	0.1103 	0.0155 
NRG_SUP,MWH20000-69999,NAT,NL	0.0418 	0.0385 	0.0422 	0.0473 	0.0496 	0.0549 	0.0575 	0.0573 	0.0594 	0.0709 	0.0686 	0.0635 
NRG_SUP,MWH20000-69999,NAT,NO	0.4536 	0.3089 	0.3022 	0.2121 	0.2715 	0.3091 	0.2616 	0.3167 	0.3943 	0.3182 	0.3824 	0.2681 
NRG_SUP,MWH20000-69999,NAT,PL	0.1613 	0.1527 	0.1909 	0.1945 	0.1835 	0.2060 	0.2411 	0.2348 	0.2301 	0.2443 	0.1740 	0.1115 
NRG_SUP,MWH20000-69999,NAT,PT	0.0502 	0.0499 	0.0501 	0.0580 	0.0552 	0.0593 	0.0598 	0.0520 	0.0534 	0.0565 	0.0483 	0.0524 
NRG_SUP,MWH20000-69999,NAT,RO	0.2072 	0.1600 	0.1523 	0.1368 	0.1439 	0.1860 	0.1943 	0.2009 	0.1773 	0.1890 	0.1628 	0.1661 
NRG_SUP,MWH20000-69999,NAT,RS	5.1270 	4.8990 	3.5444 	5.2681 	5.2286 	3.9082 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,NAT,SE	0.4100 	0.2984 	0.3645 	0.3142 	0.3900 	0.4135 	0.3835 	0.4615 	0.5470 	0.4890 	0.5250 	0.4034 
NRG_SUP,MWH20000-69999,NAT,SI	0.0443 	0.0408 	0.0429 	0.0473 	0.0498 	0.0549 	0.0596 	0.0590 	0.0563 	0.0629 	0.0530 	: 
NRG_SUP,MWH20000-69999,NAT,SK	0.0407 	0.0339 	0.0363 	0.0392 	0.0440 	0.0502 	0.0561 	0.0530 	0.0564 	0.0739 	2.0600 	1.7700 
NRG_SUP,MWH20000-69999,NAT,TR	0.2604 	0.1943 	0.1745 	0.1796 	0.1625 	0.1574 	0.1566 	0.1100 	0.1373 	0.1332 	0.1244 	: 
NRG_SUP,MWH20000-69999,NAT,UK	0.0636 	0.0599 	0.0554 	0.0587 	0.0666 	0.0650 	0.0657 	0.0579 	0.0503 	0.0576 	0.0599 	0.0391 
NRG_SUP,MWH20000-69999,NAT,XK	: c	: c	0.0356 	0.0362 	0.0356 	0.0395 	: 	: 	: 	: 	: 	: 
NRG_SUP,MWH20000-69999,PPS,AT	0.0327 	0.0309 	0.0355 	0.0407 	0.0431 	0.0472 	0.0523 	0.0553 	0.0576 	0.0614 	0.0622 	: 
NRG_SUP,MWH20000-69999,PPS,BA	0.0707 	0.0734 	0.0656 	0.0660 	: 	0.0727 	0.0756 	: 	: 	: 	: 	: 
